;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Model run: 20221121_024148;;;;;;;;;;;;;;;;;
Scaler: None;;;;;;;;;;;;;;;;;
n feature combinations: (2, 3);;;;;;;;;;;;;;;;;
Regressors: [{'regressor': [TweedieRegressor(max_iter=100000)], 'regressor__power': [2], 'regressor__link': ['log']}];;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Scorer      for evaluation: MedAE  (outer fold results are sorted by this!);;;;;;;;;;;;;;;;;
Aggregation for evaluation: median;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
CV schemes:;;;;;;;;;;;;;;;;;
    inner: LeaveOneOut();;;;;;;;;;;;;;;;;
    outer: 10;;;;;;;;;;;;;;;;;
    ;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
outerCV_fold;test_R2;train_R2;test_MAPE;train_MAPE;test_MedAE;train_MedAE;features;regressor;feature_combi_ID;allSamples_R2;allSamples_MAPE;allSamples_MedAE;allSamples_R2_refit;allSamples_MAPE_refit;allSamples_MedAE_refit;;
4;0.982949708604562;0.787823665758089;-2.50643379013033;-2.93860315621765;-240.961363575683;-625.09086585373;['WWTP_influence_as_mean_time_travelled__nosed_18µm_autumn_444', 'TOC'];TweedieRegressor(link='log', max_iter=100000, power=2);169;0.806304949083262;2.89538621960892;591.431313635369;0.783959760788599;2.74853446792492;577.716238232711;;
8;0.716968413269983;0.827150435947664;-1.86028698624106;-2.9602527076201;-388.728350365059;-643.934472726167;['WWTP_influence_as_mean_time_travelled__nosed_18µm_autumn_444', 'TOC', 'PC2'];TweedieRegressor(link='log', max_iter=100000, power=2);532;0.832145084848812;2.85025613548219;605.954988427582;0.783912448541776;2.74227881523471;573.583698783965;;
5;0.946251215034971;0.814778359033485;-0.724828307872894;-3.15905577688941;-451.568871772639;-611.993174828882;['WWTP_influence_as_mean_time_travelled__nosed_18µm_autumn_444', 'TOC'];TweedieRegressor(link='log', max_iter=100000, power=2);169;0.819214373261195;2.91563302998775;589.571817547505;0.783959760788599;2.74853446792492;577.716238232711;;
9;-0.0283940076358076;0.574842777701135;-1.84284258999727;-1.20222376874989;-613.835696567131;-581.900947465047;['Dist_Land', 'WWTP_influence_as_cumulated_residence__nosed_18µm_autumn_222', 'D50 (µm)'];TweedieRegressor(link='log', max_iter=100000, power=2);358;0.574096697252664;1.26628565087463;597.868322016089;0.649854930794387;1.3953775018414;649.061458033073;;
0;0.812168199807549;0.708538912003489;-0.237233585374685;-2.90171355466234;-791.849458854705;-572.047495371453;['WWTP_influence_as_mean_time_travelled__sed_18µm_autumn_222', 'TOC', 'PC2'];TweedieRegressor(link='log', max_iter=100000, power=2);468;0.710662796164434;2.63526555773358;681.948477113079;0.756600822590756;2.74036336318192;675.515901892521;;
